School,CountyReport,Number_of_Total_Cases,ReportDate,Time
Bel Air Elementary School,Harford,10,8/4/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,8/4/2021,15:00:00+00
Harmony Hills Elementary School,Montgomery,2,8/4/2021,15:00:00+00
Hope Academy,Baltimore City,2,8/4/2021,15:00:00+00
Ivymount School,Montgomery,3,8/4/2021,15:00:00+00
Oakdale Elementary School,Frederick,2,8/4/2021,15:00:00+00
Pemberton Elementary School,Wicomico,7,8/4/2021,15:00:00+00
Potomac Glen Day School,Montgomery,4,8/4/2021,15:00:00+00
Bel Air Elementary School,Harford,11,8/11/2021,15:00:00+00
Digital Harbor High School,Baltimore City,2,8/11/2021,15:00:00+00
Harmony Hills Elementary School,Montgomery,2,8/11/2021,15:00:00+00
Hope Academy,Baltimore City,2,8/11/2021,15:00:00+00
Ivymount School,Montgomery,3,8/11/2021,15:00:00+00
Oakdale Elementary School,Frederick,2,8/11/2021,15:00:00+00
Pemberton Elementary School,Wicomico,8,8/11/2021,15:00:00+00
Potomac Glen Day School,Montgomery,6,8/11/2021,15:00:00+00
Century High School,Carroll,2,8/18/2021,15:00:00+00
Maryland School for the Blind,Baltimore City,2,8/18/2021,15:00:00+00
Potomac Glen Day School,Montgomery,6,8/18/2021,15:00:00+00
Winfield Elementary School,Carroll,3,8/18/2021,15:00:00+00
Butterfly Ridge Elementary School,Frederick,2,8/25/2021,15:00:00+00
Century High School,Carroll,2,8/25/2021,15:00:00+00
Gerstell Academy,Carroll,2,8/25/2021,15:00:00+00
Hillcrest Elementary School,Frederick,2,8/25/2021,15:00:00+00
Lewistown Elementary School,Frederick,3,8/25/2021,15:00:00+00
Maryland School for the Blind,Baltimore City,2,8/25/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,8/25/2021,15:00:00+00
Parkside High School,Wicomico,2,8/25/2021,15:00:00+00
Quince Orchard High School,Montgomery,24,8/25/2021,15:00:00+00
Reginald F. Lewis High School,Baltimore City,2,8/25/2021,15:00:00+00
South Carroll High School,Carroll,2,8/25/2021,15:00:00+00
Stephen Decatur High School,Worcester,2,8/25/2021,15:00:00+00
Success Program,Frederick,2,8/25/2021,15:00:00+00
Tuscarora Elementary School,Frederick,2,8/25/2021,15:00:00+00
Tuscarora High School,Frederick,4,8/25/2021,15:00:00+00
Wicomico Day School,Wicomico,2,8/25/2021,15:00:00+00
Wicomico High School,Wicomico,2,8/25/2021,15:00:00+00
Winfield Elementary School,Carroll,3,8/25/2021,15:00:00+00
Atholton Adventist Academy,Howard,2,9/1/2021,15:00:00+00
Bullis School - Football Team,Montgomery,3,9/1/2021,15:00:00+00
Butterfly Ridge Elementary School,Frederick,2,9/1/2021,15:00:00+00
Carroll Manor Elementary School,Frederick,3,9/1/2021,15:00:00+00
Century High School,Carroll,5,9/1/2021,15:00:00+00
Chopticon High School,St. Mary's,6,9/1/2021,15:00:00+00
Damascus High School,Montgomery,2,9/1/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Prince George's,4,9/1/2021,15:00:00+00
Frederick Christian Academy,Frederick,4,9/1/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,9/1/2021,15:00:00+00
Gerstell Academy,Carroll,2,9/1/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,3,9/1/2021,15:00:00+00
Hillcrest Elementary School,Frederick,2,9/1/2021,15:00:00+00
John L Gildner - RICA,Montgomery,2,9/1/2021,15:00:00+00
Lewistown Elementary School,Frederick,5,9/1/2021,15:00:00+00
Lillie May Jackson Charter Public School,Baltimore City,13,9/1/2021,15:00:00+00
Marriotts Ridge High School,Howard,4,9/1/2021,15:00:00+00
Monocacy Valley Montessori Public Charter School,Frederick,2,9/1/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,9/1/2021,15:00:00+00
Parkside High School,Wicomico,4,9/1/2021,15:00:00+00
Potomac High School,Prince George's,2,9/1/2021,15:00:00+00
Quince Orchard High School,Montgomery,25,9/1/2021,15:00:00+00
Reid Temple Academy,Prince George's,3,9/1/2021,15:00:00+00
Seneca Valley High School,Montgomery,2,9/1/2021,15:00:00+00
South Carroll High School,Carroll,3,9/1/2021,15:00:00+00
St. John's School,St. Mary's,3,9/1/2021,15:00:00+00
Stephen Decatur High School,Worcester,4,9/1/2021,15:00:00+00
Success Program,Frederick,2,9/1/2021,15:00:00+00
Thurmont Middle School,Frederick,2,9/1/2021,15:00:00+00
Tuscarora Elementary School,Frederick,2,9/1/2021,15:00:00+00
Tuscarora High School,Frederick,5,9/1/2021,15:00:00+00
Walkersville High School,Frederick,3,9/1/2021,15:00:00+00
Westminster High School,Carroll,2,9/1/2021,15:00:00+00
Wicomico Day School,Wicomico,3,9/1/2021,15:00:00+00
Allegany High School,Allegany,4,9/8/2021,15:00:00+00
Archbishop Neale School,Charles,2,9/8/2021,15:00:00+00
Arundel Christian School,Anne Arundel,4,9/8/2021,15:00:00+00
Atholton Adventist Academy,Howard,2,9/8/2021,15:00:00+00
Ballenger Creek Middle School,Frederick,4,9/8/2021,15:00:00+00
Blue Heron Elementary School,Frederick,2,9/8/2021,15:00:00+00
Bohemia Manor High School,Cecil,3,9/8/2021,15:00:00+00
Braddock Middle School,Allegany,2,9/8/2021,15:00:00+00
Broadfording Christian Academy,Washington,2,9/8/2021,15:00:00+00
Brunswick High School,Frederick,2,9/8/2021,15:00:00+00
Burning Tree Elementary School,Montgomery,2,9/8/2021,15:00:00+00
C. Milton Wright High School,Harford,3,9/8/2021,15:00:00+00
Carroll Manor Elementary School,Frederick,3,9/8/2021,15:00:00+00
Century High School,Carroll,6,9/8/2021,15:00:00+00
Chopticon High School,St. Mary's,7,9/8/2021,15:00:00+00
Dayton Elementary School,Howard,2,9/8/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Prince George's,7,9/8/2021,15:00:00+00
Ducketts Lane Elementary School,Howard,2,9/8/2021,15:00:00+00
Fort Hill High School,Allegany,4,9/8/2021,15:00:00+00
Frederick Christian Academy,Frederick,4,9/8/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,9/8/2021,15:00:00+00
Glade Elementary School,Frederick,4,9/8/2021,15:00:00+00
Glen Burnie High School,Anne Arundel,3,9/8/2021,15:00:00+00
Hammond High School,Howard,2,9/8/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,3,9/8/2021,15:00:00+00
John Carroll High School,Harford,5,9/8/2021,15:00:00+00
Kent Island High School,Queen Anne's,3,9/8/2021,15:00:00+00
Lewistown Elementary School,Frederick,5,9/8/2021,15:00:00+00
Lillie May Jackson Charter Public School,Baltimore City,16,9/8/2021,15:00:00+00
Linganore High School,Frederick,3,9/8/2021,15:00:00+00
Marriotts Ridge High School,Howard,4,9/8/2021,15:00:00+00
Monocacy Elementary School,Frederick,3,9/8/2021,15:00:00+00
Old Forge Elementary School,Washington,2,9/8/2021,15:00:00+00
Parkside High School,Wicomico,15,9/8/2021,15:00:00+00
Potomac High School,Prince George's,2,9/8/2021,15:00:00+00
Quince Orchard High School,Montgomery,25,9/8/2021,15:00:00+00
Randallstown High School,Baltimore,2,9/8/2021,15:00:00+00
Reid Temple Academy,Prince George's,3,9/8/2021,15:00:00+00
River Hill High School,Howard,2,9/8/2021,15:00:00+00
Saint Frances Academy,Baltimore City,2,9/8/2021,15:00:00+00
St. John's School,St. Mary's,5,9/8/2021,15:00:00+00
St. Paul's Lutheran School,Anne Arundel,4,9/8/2021,15:00:00+00
St. Philip-Neri School,Anne Arundel,2,9/8/2021,15:00:00+00
Stephen Decatur High School,Worcester,6,9/8/2021,15:00:00+00
The Key School,Anne Arundel,4,9/8/2021,15:00:00+00
Thurmont Middle School,Frederick,11,9/8/2021,15:00:00+00
Trinity School,Howard,2,9/8/2021,15:00:00+00
Walkersville High School,Frederick,4,9/8/2021,15:00:00+00
Westminster High School,Carroll,2,9/8/2021,15:00:00+00
Whittier Elementary School,Frederick,2,9/8/2021,15:00:00+00
Wicomico Day School,Wicomico,5,9/8/2021,15:00:00+00
Woodlawn High School,Baltimore,4,9/8/2021,15:00:00+00
Archbishop Curley High School,Baltimore City,2,9/15/2021,15:00:00+00
Archbishop Neale School,Charles,2,9/15/2021,15:00:00+00
Arundel Christian School,Anne Arundel,6,9/15/2021,15:00:00+00
Ballenger Creek Middle School,Frederick,4,9/15/2021,15:00:00+00
Bellows Spring Elementary School,Howard,2,9/15/2021,15:00:00+00
Bohemia Manor High School,Cecil,3,9/15/2021,15:00:00+00
Broadfording Christian Academy,Washington,19,9/15/2021,15:00:00+00
Broadneck High School,Anne Arundel,2,9/15/2021,15:00:00+00
Brunswick Elementary School,Frederick,5,9/15/2021,15:00:00+00
Brunswick High School,Frederick,2,9/15/2021,15:00:00+00
Bryant Woods Elementary School,Howard,4,9/15/2021,15:00:00+00
Burning Tree Elementary School,Montgomery,2,9/15/2021,15:00:00+00
C. Milton Wright High School,Harford,3,9/15/2021,15:00:00+00
Calvert Hall College High School,Baltimore,2,9/15/2021,15:00:00+00
Career Center for Technical Education,Allegany,2,9/15/2021,15:00:00+00
Carter G.  Woodson Elementary School,Somerset,4,9/15/2021,15:00:00+00
Cedarmere Elementary School,Baltimore,6,9/15/2021,15:00:00+00
Chopticon High School,St. Mary's,12,9/15/2021,15:00:00+00
Church Lane Elementary School,Baltimore,5,9/15/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,3,9/15/2021,15:00:00+00
Dayton Elementary School,Howard,2,9/15/2021,15:00:00+00
Divine Mercy Academy,Anne Arundel,7,9/15/2021,15:00:00+00
Don Bosco Cristo Rey High School,Montgomery,2,9/15/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Prince George's,8,9/15/2021,15:00:00+00
Ducketts Lane Elementary School,Howard,2,9/15/2021,15:00:00+00
Emmitsburg Elementary School,Frederick,2,9/15/2021,15:00:00+00
Folly Quarter Middle School,Howard,2,9/15/2021,15:00:00+00
Fort Hill High School,Allegany,8,9/15/2021,15:00:00+00
Franklin Middle School,Baltimore,2,9/15/2021,15:00:00+00
Frederick High School,Frederick,2,9/15/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,4,9/15/2021,15:00:00+00
Glade Elementary School,Frederick,4,9/15/2021,15:00:00+00
Glen Burnie High School,Anne Arundel,3,9/15/2021,15:00:00+00
Great Mills High School,St. Mary's,4,9/15/2021,15:00:00+00
Green Holly Elementary School,St. Mary's,2,9/15/2021,15:00:00+00
Gwynn Park High School,Prince George's,11,9/15/2021,15:00:00+00
Hammond Elementary School,Howard,3,9/15/2021,15:00:00+00
Hammond High School,Howard,2,9/15/2021,15:00:00+00
Harford Technical High School,Harford,4,9/15/2021,15:00:00+00
Havre de Grace Elementary School,Harford,2,9/15/2021,15:00:00+00
Joppatowne High School,Harford,2,9/15/2021,15:00:00+00
Kent Island Elementary School,Queen Anne's,2,9/15/2021,15:00:00+00
Kent Island High School,Queen Anne's,4,9/15/2021,15:00:00+00
Laurel Woods Elementary School,Howard,2,9/15/2021,15:00:00+00
Leonardtown Elementary School,St. Mary's,4,9/15/2021,15:00:00+00
Leonardtown High School,St. Mary's,6,9/15/2021,15:00:00+00
Lillie May Jackson Charter Public School,Baltimore City,16,9/15/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,7,9/15/2021,15:00:00+00
Maryland School for the Deaf,Frederick,2,9/15/2021,15:00:00+00
Middletown Elementary School,Frederick,2,9/15/2021,15:00:00+00
Milford Mill Academy,Baltimore,3,9/15/2021,15:00:00+00
Monocacy Elementary School,Frederick,3,9/15/2021,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,2,9/15/2021,15:00:00+00
Mount Savage School,Allegany,2,9/15/2021,15:00:00+00
Mountain Ridge High School,Allegany,6,9/15/2021,15:00:00+00
Myersville Elementary School,Frederick,2,9/15/2021,15:00:00+00
New Life Christian School,Frederick,2,9/15/2021,15:00:00+00
Northeast High School,Anne Arundel,6,9/15/2021,15:00:00+00
Northern Middle School,Washington,8,9/15/2021,15:00:00+00
Oakdale Middle School,Frederick,2,9/15/2021,15:00:00+00
Old Forge Elementary School,Washington,2,9/15/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,9/15/2021,15:00:00+00
Parkside High School,Wicomico,18,9/15/2021,15:00:00+00
Patapsco High School,Baltimore,3,9/15/2021,15:00:00+00
Pine Grove Elementary School,Baltimore,2,9/15/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,7,9/15/2021,15:00:00+00
Plum Point Elementary School,Calvert,8,9/15/2021,15:00:00+00
Ridgely Elementary School,Caroline,3,9/15/2021,15:00:00+00
River Hill High School,Howard,2,9/15/2021,15:00:00+00
Saint Frances Academy,Baltimore City,2,9/15/2021,15:00:00+00
Seven Oaks Elementary School,Baltimore,2,9/15/2021,15:00:00+00
Severn School,Anne Arundel,2,9/15/2021,15:00:00+00
Showell Elementary School,Worcester,2,9/15/2021,15:00:00+00
Somerset Intermediate School,Somerset,12,9/15/2021,15:00:00+00
South Penn Elementary School,Allegany,9,9/15/2021,15:00:00+00
Springfield Middle School,Washington,2,9/15/2021,15:00:00+00
St. John Regional Catholic School,Frederick,3,9/15/2021,15:00:00+00
St. Margaret School,Harford,2,9/15/2021,15:00:00+00
St. Mark School,Baltimore,2,9/15/2021,15:00:00+00
St. Paul's Lutheran School,Anne Arundel,4,9/15/2021,15:00:00+00
St. Philip-Neri School,Anne Arundel,3,9/15/2021,15:00:00+00
Stephen Decatur High School,Worcester,6,9/15/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,15,9/15/2021,15:00:00+00
The Key School,Anne Arundel,5,9/15/2021,15:00:00+00
Thurmont Middle School,Frederick,12,9/15/2021,15:00:00+00
Trinity School,Howard,2,9/15/2021,15:00:00+00
Tuscarora High School,Frederick,9,9/15/2021,15:00:00+00
Valley Elementary School,Frederick,2,9/15/2021,15:00:00+00
Walkersville Elementary School,Frederick,2,9/15/2021,15:00:00+00
Walkersville High School,Frederick,6,9/15/2021,15:00:00+00
Walkersville Middle School,Frederick,2,9/15/2021,15:00:00+00
Washington Middle School,Allegany,3,9/15/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,2,9/15/2021,15:00:00+00
Williamsport High School,Washington,17,9/15/2021,15:00:00+00
Worcester Preparatory School,Worcester,3,9/15/2021,15:00:00+00
Allegany High School,Allegany,9,9/29/2021,15:00:00+00
Al-Rahmah School,Baltimore,2,9/29/2021,15:00:00+00
Beall Elementary School,Allegany,2,9/29/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Prince George's,4,9/29/2021,15:00:00+00
Bethel Christian Academy,Howard,2,9/29/2021,15:00:00+00
Braddock Middle School,Allegany,13,9/29/2021,15:00:00+00
Broadfording Christian Academy,Washington,25,9/29/2021,15:00:00+00
Broadneck High School,Anne Arundel,4,9/29/2021,15:00:00+00
Brooklyn Park Elementary School,Anne Arundel,3,9/29/2021,15:00:00+00
Burning Tree Elementary School,Montgomery,2,9/29/2021,15:00:00+00
Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,9/29/2021,15:00:00+00
Career Center for Technical Education,Allegany,18,9/29/2021,15:00:00+00
Carroll Manor Elementary School,Baltimore,2,9/29/2021,15:00:00+00
Carter G.  Woodson Elementary School,Somerset,29,9/29/2021,15:00:00+00
Catoctin High School,Frederick,12,9/29/2021,15:00:00+00
Center for Applied Technologies North,Anne Arundel,5,9/29/2021,15:00:00+00
Centreville Middle School,Queen Anne's,7,9/29/2021,15:00:00+00
Chesapeake Bay Middle School,Anne Arundel,9,9/29/2021,15:00:00+00
Chesapeake City Elementary School,Cecil,8,9/29/2021,15:00:00+00
Chesapeake High School,Anne Arundel,23,9/29/2021,15:00:00+00
Clarksville Elementary,Howard,2,9/29/2021,15:00:00+00
Clear Springs High School,Washington,2,9/29/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,3,9/29/2021,15:00:00+00
Corkran Middle School,Anne Arundel,3,9/29/2021,15:00:00+00
Cradle Rock Elementary,Howard,3,9/29/2021,15:00:00+00
Crofton High School,Anne Arundel,8,9/29/2021,15:00:00+00
Crofton Woods Elementary School,Anne Arundel,2,9/29/2021,15:00:00+00
Crossroads Center School,Baltimore,3,9/29/2021,15:00:00+00
Damascus High School,Montgomery,3,9/29/2021,15:00:00+00
Deerfield Elementary School,Harford,2,9/29/2021,15:00:00+00
Dublin Elementary School,Harford,2,9/29/2021,15:00:00+00
Dundalk Elementary School,Baltimore,2,9/29/2021,15:00:00+00
Dunloggin Middle School,Howard,2,9/29/2021,15:00:00+00
Dynard Elementary School,St. Mary's,2,9/29/2021,15:00:00+00
Easton Elementary School,Talbot,3,9/29/2021,15:00:00+00
Ebb Valley Elementary School,Carroll,2,9/29/2021,15:00:00+00
Elmer Wolfe Elementary School,Carroll,2,9/29/2021,15:00:00+00
"Father Andrew White, S.J. School",St. Mary's,2,9/29/2021,15:00:00+00
Federalsburg Elementary School,Caroline,8,9/29/2021,15:00:00+00
Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,2,9/29/2021,15:00:00+00
Forest Ridge Elementary School,Howard,3,9/29/2021,15:00:00+00
Fort Hill High School,Allegany,15,9/29/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,35,9/29/2021,15:00:00+00
Galena Elementary School,Kent,2,9/29/2021,15:00:00+00
Good Shepard Catholic School,Cecil,3,9/29/2021,15:00:00+00
Governor Thomas Johnson High School,Frederick,3,9/29/2021,15:00:00+00
Great Mills High School,St. Mary's,19,9/29/2021,15:00:00+00
Greenview Knolls Elementary School,St. Mary's,2,9/29/2021,15:00:00+00
Greenwood Elementary School,Somerset,7,9/29/2021,15:00:00+00
Gwynn Park High School,Prince George's,14,9/29/2021,15:00:00+00
Hammond Elementary School,Howard,5,9/29/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,6,9/29/2021,15:00:00+00
Hannover Hills Elementary School,Howard,6,9/29/2021,15:00:00+00
Harford Day School,Harford,2,9/29/2021,15:00:00+00
Harford Technical High School,Harford,4,9/29/2021,15:00:00+00
Havre de Grace Elementary School,Harford,6,9/29/2021,15:00:00+00
Heritage Academy,Washington,2,9/29/2021,15:00:00+00
Hollywood Elementary School,St. Mary's,4,9/29/2021,15:00:00+00
James M. Bennett High School,Wicomico,4,9/29/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,9/29/2021,15:00:00+00
Joppatowne High School,Harford,2,9/29/2021,15:00:00+00
Kent Island Elementary School,Queen Anne's,4,9/29/2021,15:00:00+00
Kingsville Elementary School,Baltimore,3,9/29/2021,15:00:00+00
Landon School,Montgomery,7,9/29/2021,15:00:00+00
Lansdowne High School,Baltimore,2,9/29/2021,15:00:00+00
Laurel Woods Elementary School,Howard,4,9/29/2021,15:00:00+00
Leonardtown High School,St. Mary's,35,9/29/2021,15:00:00+00
Lillie May Jackson Charter Public School,Baltimore City,16,9/29/2021,15:00:00+00
Linton Springs Elementary School,Carroll,6,9/29/2021,15:00:00+00
Living Hope Christian School,Somerset,9,9/29/2021,15:00:00+00
Lucy School,Frederick,2,9/29/2021,15:00:00+00
Magothy River Middle School,Anne Arundel,4,9/29/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,61,9/29/2021,15:00:00+00
Mary H. Matula Elementary School,Charles,9,9/29/2021,15:00:00+00
Maryland International School of Sustainability and Technology,Washington,7,9/29/2021,15:00:00+00
Maryland School for the Deaf,Frederick,6,9/29/2021,15:00:00+00
Mattawoman Middle School,Charles,2,9/29/2021,15:00:00+00
Middletown Primary School,Frederick,3,9/29/2021,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,9,9/29/2021,15:00:00+00
Most Blessed Sacrament Catholic School,Worcester,3,9/29/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,9/29/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,9/29/2021,15:00:00+00
Mount View Middle School,Howard,2,9/29/2021,15:00:00+00
Mountain Ridge High School,Allegany,14,9/29/2021,15:00:00+00
New Life Christian School,Frederick,8,9/29/2021,15:00:00+00
New Town High School,Baltimore,6,9/29/2021,15:00:00+00
North Bethesda Middle School,Montgomery,16,9/29/2021,15:00:00+00
North Caroline High School,Caroline,6,9/29/2021,15:00:00+00
North Dorchester High School,Dorchester,19,9/29/2021,15:00:00+00
North Dorchester Middle School,Dorchester,19,9/29/2021,15:00:00+00
Northeast Middle School,Cecil,20,9/29/2021,15:00:00+00
North Hagerstown High School,Washington,2,9/29/2021,15:00:00+00
Northeast High School,Anne Arundel,22,9/29/2021,15:00:00+00
Northeast Middle School,Anne Arundel,9,9/29/2021,15:00:00+00
Northern Middle School,Washington,17,9/29/2021,15:00:00+00
Northern Middle School,Garrett,5,9/29/2021,15:00:00+00
Northwest Middle School,Carroll,27,9/29/2021,15:00:00+00
Oakdale Elementary School,Frederick,2,9/29/2021,15:00:00+00
Oakdale Middle School,Frederick,6,9/29/2021,15:00:00+00
Ocean City Elementary School,Worcester,2,9/29/2021,15:00:00+00
