School,CountyReport,Number_of_Total_Cases,ReportDate,Time
Running Brook Elementary School,Howard,4,10/27/2021,15:00:00+00
Saint Elizabeth School,Baltimore City,3,10/27/2021,15:00:00+00
Salisbury Baptist Academy,Wicomico,10,10/27/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/27/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/27/2021,15:00:00+00
Showell Elementary School,Worcester,24,10/27/2021,15:00:00+00
Silver Oak Academy,Carroll,7,10/27/2021,15:00:00+00
Snow Hill Middle School,Worcester,26,10/27/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,10/27/2021,15:00:00+00
South-Dorchester K-8,Dorchester,4,10/27/2021,15:00:00+00
Southern Middle School,Anne Arundel,24,10/27/2021,15:00:00+00
Spring Garden Elementary School,Carroll,2,10/27/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,57,10/27/2021,15:00:00+00
St. Charles High School,Charles,22,10/27/2021,15:00:00+00
St. Columba School,Prince George's,3,10/27/2021,15:00:00+00
St. John the Evangelist School,Anne Arundel,2,10/27/2021,15:00:00+00
St. Joseph School,Baltimore,5,10/27/2021,15:00:00+00
St. Mary's School,Charles,4,10/27/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/27/2021,15:00:00+00
St. Paul's School,Baltimore,7,10/27/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,39,10/27/2021,15:00:00+00
Stephen Decatur High School,Worcester,7,10/27/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,11,10/27/2021,15:00:00+00
Stone Ridge School of the Sacred Heart,Montgomery,2,10/27/2021,15:00:00+00
Sudersville Middle School,Queen Anne's,9,10/27/2021,15:00:00+00
Summit Park Elementary,Baltimore,8,10/27/2021,15:00:00+00
The Belair-Edison School,Baltimore City,7,10/27/2021,15:00:00+00
The Mount Royal School,Baltimore City,3,10/27/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,4,10/27/2021,15:00:00+00
Washington High School,Somerset,21,10/27/2021,15:00:00+00
Waters Landing Elementary School,Montgomery,3,10/27/2021,15:00:00+00
West Side Elementary School,Allegany,2,10/27/2021,15:00:00+00
Western Heights Middle School,Washington,32,10/27/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,7,10/27/2021,15:00:00+00
Williamsport High School,Washington,38,10/27/2021,15:00:00+00
Allegany High School,Allegany,35,11/3/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Charles,2,11/3/2021,15:00:00+00
Annapolis Middle School,Anne Arundel,2,11/3/2021,15:00:00+00
Arundel High School,Anne Arundel,6,11/3/2021,15:00:00+00
Arundel Middle School,Anne Arundel,2,11/3/2021,15:00:00+00
Barnaby Manor Elementary School,Prince George's,2,11/3/2021,15:00:00+00
Barstow Elementary School,Calvert,2,11/3/2021,15:00:00+00
Bethel Christian Academy,Howard,2,11/3/2021,15:00:00+00
Bladensburg High School,Prince George's,4,11/3/2021,15:00:00+00
Braddock Middle School,Allegany,30,11/3/2021,15:00:00+00
Broadneck High School,Anne Arundel,5,11/3/2021,15:00:00+00
Brock Bridge Elementary School,Anne Arundel,2,11/3/2021,15:00:00+00
Buckingham Elementary School,Worcester,15,11/3/2021,15:00:00+00
Captain Walter Francis Duke Middle School,St. Mary's,23,11/3/2021,15:00:00+00
Carter G Woodson Elementary School,Somerset,42,11/3/2021,15:00:00+00
Catoctin High School,Frederick,25,11/3/2021,15:00:00+00
Central Middle School,Anne Arundel,2,11/3/2021,15:00:00+00
Century High School,Carroll,5,11/3/2021,15:00:00+00
Chapel Hill Elementary School,Baltimore,2,11/3/2021,15:00:00+00
Cherry Hill Middle School,Cecil,10,11/3/2021,15:00:00+00
Chesapeake High School,Anne Arundel,47,11/3/2021,15:00:00+00
Cranberry Station Elementary School,Carroll,2,11/3/2021,15:00:00+00
Crisfield High School,Somerset,31,11/3/2021,15:00:00+00
Crofton Elementary School,Anne Arundel,2,11/3/2021,15:00:00+00
Crofton Meadows Elementary School,Anne Arundel,5,11/3/2021,15:00:00+00
Deerfield Elementary School,Harford,5,11/3/2021,15:00:00+00
Dynard Elementary School,St. Mary's,19,11/3/2021,15:00:00+00
Easton Elementary School,Talbot,3,11/3/2021,15:00:00+00
Elmer A. Wolfe Elementary School,Carroll,2,11/3/2021,15:00:00+00
Esperanza Middle School,St. Mary's,38,11/3/2021,15:00:00+00
Fallston High School,Harford,2,11/3/2021,15:00:00+00
Fort Hill High School,Allegany,42,11/3/2021,15:00:00+00
Friendship Valley Elementary School,Carroll,3,11/3/2021,15:00:00+00
George Creek Elementary School,Allegany,2,11/3/2021,15:00:00+00
Glenelg High School,Howard,2,11/3/2021,15:00:00+00
Gorman Crossing Elementary School,Howard,4,11/3/2021,15:00:00+00
Great Mills High School,St. Mary's,64,11/3/2021,15:00:00+00
Greenwood Elementary School,Somerset,17,11/3/2021,15:00:00+00
Harper's Choice Middle School,Howard,10,11/3/2021,15:00:00+00
Havre de Grace Elementary School,Harford,27,11/3/2021,15:00:00+00
Heather Hills Elementary School,Prince George's,3,11/3/2021,15:00:00+00
Hebron-Harman Elementary School,Anne Arundel,9,11/3/2021,15:00:00+00
Hereford Middle School,Baltimore,2,11/3/2021,15:00:00+00
Hickory Elementary School,Harford,7,11/3/2021,15:00:00+00
Highland Park Elementary School,Prince George's,2,11/3/2021,15:00:00+00
J. Frank Dent Elementary School,Prince George's,2,11/3/2021,15:00:00+00
Jacksonville Elementary School,Baltimore,4,11/3/2021,15:00:00+00
Jacobsville Elementary School,Anne Arundel,2,11/3/2021,15:00:00+00
John Archer School,Harford,2,11/3/2021,15:00:00+00
Joppatowne Elementary Scgiik,Harford,4,11/3/2021,15:00:00+00
Kent Island High School,Queen Anne's,10,11/3/2021,15:00:00+00
Kingsville Elementary School,Baltimore,5,11/3/2021,15:00:00+00
Laurel High School,Prince George's,2,11/3/2021,15:00:00+00
Leonardtown High School,St. Mary's,80,11/3/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,51,11/3/2021,15:00:00+00
Lindale Middle School,Anne Arundel,4,11/3/2021,15:00:00+00
Lutherville Laboratory,Baltimore,6,11/3/2021,15:00:00+00
MacArthur Middle School,Anne Arundel,6,11/3/2021,15:00:00+00
Magothy River Middle School,Anne Arundel,9,11/3/2021,15:00:00+00
Manchester Valley High School,Carroll,6,11/3/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,99,11/3/2021,15:00:00+00
McDonogh School,Baltimore,8,11/3/2021,15:00:00+00
Middleborough Elementary School,Baltimore,2,11/3/2021,15:00:00+00
Mill Creek Middle School,Calvert,11,11/3/2021,15:00:00+00
Monarch Global Academy PCS Laurel Campus,Anne Arundel,37,11/3/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,11/3/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,11/3/2021,15:00:00+00
Mount Savage School,Allegany,4,11/3/2021,15:00:00+00
Mount View Middle School,Howard,10,11/3/2021,15:00:00+00
Mountain Ridge High School,Allegany,33,11/3/2021,15:00:00+00
Mt. Airy Middle School,Carroll,2,11/3/2021,15:00:00+00
North Dorchester Middle School,Dorchester,29,11/3/2021,15:00:00+00
North East Elementary School,Cecil,5,11/3/2021,15:00:00+00
North East Middle School,Cecil,38,11/3/2021,15:00:00+00
North Frederick Elementary School,Frederick,2,11/3/2021,15:00:00+00
North Harford Elementary School,Harford,2,11/3/2021,15:00:00+00
Northeast High School,Anne Arundel,33,11/3/2021,15:00:00+00
Northern Middle School,Washington,27,11/3/2021,15:00:00+00
Northwest Middle School,Carroll,38,11/3/2021,15:00:00+00
Oakdale Middle School,Frederick,8,11/3/2021,15:00:00+00
Ohr Chadash Academy,Baltimore City,2,11/3/2021,15:00:00+00
Oklahoma Road Middle School,Carroll,2,11/3/2021,15:00:00+00
Old Forge Elementary School,Washington,3,11/3/2021,15:00:00+00
Orchard Groves Elementary School,Frederick,18,11/3/2021,15:00:00+00
Orem Elementary School,Baltimore,2,11/3/2021,15:00:00+00
Our Lady of Lourdes Catholic School,Montgomery,9,11/3/2021,15:00:00+00
Overlook Elementary,Anne Arundel,2,11/3/2021,15:00:00+00
Owings Mills Elementary School,Baltimore,3,11/3/2021,15:00:00+00
Perryville High School,Cecil,22,11/3/2021,15:00:00+00
Perryville Middle School,Cecil,8,11/3/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,40,11/3/2021,15:00:00+00
Potomac Landing Elementary School,Prince George's,2,11/3/2021,15:00:00+00
Richard Henry Lee Elementary School,Anne Arundel,2,11/3/2021,15:00:00+00
Ridge Elementary School,St. Mary's,4,11/3/2021,15:00:00+00
Riverview Elementary School,Baltimore,2,11/3/2021,15:00:00+00
Route 40 Elementary School,Garrett,3,11/3/2021,15:00:00+00
Roye Williams Elementary School,Harford,2,11/3/2021,15:00:00+00
Running Brook Elementary School,Howard,4,11/3/2021,15:00:00+00
Saint Bernadette School,Montgomery,3,11/3/2021,15:00:00+00
Saint Elizabeth School,Baltimore City,3,11/3/2021,15:00:00+00
Salisbury Baptist Academy,Wicomico,11,11/3/2021,15:00:00+00
Sandymount Elementary School,Carroll,4,11/3/2021,15:00:00+00
Severn Elementary School,Anne Arundel,6,11/3/2021,15:00:00+00
Shiloh Middle School,Carroll,5,11/3/2021,15:00:00+00
Showell Elementary School,Worcester,25,11/3/2021,15:00:00+00
Silver Oak Academy,Carroll,7,11/3/2021,15:00:00+00
Snow Hill Middle School,Worcester,28,11/3/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,11/3/2021,15:00:00+00
South-Dorchester K-8,Dorchester,4,11/3/2021,15:00:00+00
Southern Middle School,Anne Arundel,25,11/3/2021,15:00:00+00
Spring Garden Elementary School,Carroll,2,11/3/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,58,11/3/2021,15:00:00+00
St. Charles High School,Charles,22,11/3/2021,15:00:00+00
St. Columba School,Prince George's,3,11/3/2021,15:00:00+00
St. Joseph School - Fullerton,Baltimore,5,11/3/2021,15:00:00+00
St. Mary's School,Charles,4,11/3/2021,15:00:00+00
St. Mary's School,Anne Arundel,5,11/3/2021,15:00:00+00
St. Michaels Elementary School,Talbot,2,11/3/2021,15:00:00+00
St. Paul's School,Baltimore,9,11/3/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,41,11/3/2021,15:00:00+00
Stephen Decatur High School,Worcester,7,11/3/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,15,11/3/2021,15:00:00+00
Stone Ridge School of the Sacred Heart,Montgomery,2,11/3/2021,15:00:00+00
Summit Park Elementary School,Baltimore,8,11/3/2021,15:00:00+00
The Belair-Edison School,Baltimore City,7,11/3/2021,15:00:00+00
The Foundation School,Prince George's,2,11/3/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,4,11/3/2021,15:00:00+00
Timonium Elementary School,Baltimore,8,11/3/2021,15:00:00+00
Van Bokkelen Elementary,Anne Arundel,2,11/3/2021,15:00:00+00
Washington High School,Somerset,22,11/3/2021,15:00:00+00
Watershed Public Charter School,Baltimore,6,11/3/2021,15:00:00+00
Western Heights Middle School,Washington,33,11/3/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,9,11/3/2021,15:00:00+00
Williamsport High School,Washington,42,11/3/2021,15:00:00+00
Woodmore Elementary School,Prince George's,4,11/3/2021,15:00:00+00
Woodside Elementary School,Anne Arundel,2,11/3/2021,15:00:00+00
Allegany High School,Allegany,40,11/10/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Charles,2,11/10/2021,15:00:00+00
Annapolis Evening High School,Anne Arundel,2,11/10/2021,15:00:00+00
Arundel High School,Anne Arundel,10,11/10/2021,15:00:00+00
Arundel Middle School,Anne Arundel,2,11/10/2021,15:00:00+00
Atholton Elementary School,Howard,6,11/10/2021,15:00:00+00
Barstow Elementary School,Calvert,2,11/10/2021,15:00:00+00
Belvedere Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Benfield Elementary,Anne Arundel,2,11/10/2021,15:00:00+00
Berlin Intermediate School,Worcester,2,11/10/2021,15:00:00+00
Bethel Christian Academy,Howard,2,11/10/2021,15:00:00+00
Bonnie Branch Middle School,Howard,3,11/10/2021,15:00:00+00
Boonsboro High School,Washington,2,11/10/2021,15:00:00+00
Braddock Middle School,Allegany,33,11/10/2021,15:00:00+00
Broadneck High School,Anne Arundel,6,11/10/2021,15:00:00+00
Brock Bridge Elementary,Anne Arundel,2,11/10/2021,15:00:00+00
Buckingham Elementary School,Worcester,17,11/10/2021,15:00:00+00
Captain Walter Francis Duke Middle School,St. Mary's,26,11/10/2021,15:00:00+00
Catoctin High School,Frederick,28,11/10/2021,15:00:00+00
Central Middle School,Anne Arundel,2,11/10/2021,15:00:00+00
Century High School,Carroll,5,11/10/2021,15:00:00+00
Chapel Hill Elementary,Baltimore,4,11/10/2021,15:00:00+00
Chesapeake High School,Anne Arundel,50,11/10/2021,15:00:00+00
Chesapeake Science Point Charter School,Anne Arundel,2,11/10/2021,15:00:00+00
Cranberry Station Elementary School,Carroll,2,11/10/2021,15:00:00+00
Crisfield High School,Somerset,33,11/10/2021,15:00:00+00
Crofton Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Crofton Woods Elementary School,Anne Arundel,4,11/10/2021,15:00:00+00
Davidsonville Elementary School,Anne Arundel,4,11/10/2021,15:00:00+00
Dayton Oaks Elementary School,Howard,4,11/10/2021,15:00:00+00
Deerfield Elementary School,Harford,5,11/10/2021,15:00:00+00
Dynard Elementary School,St. Mary's,19,11/10/2021,15:00:00+00
Easton Elementary School,Talbot,3,11/10/2021,15:00:00+00
Eastport Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Elmer A. Wolfe Elementary School,Carroll,2,11/10/2021,15:00:00+00
Esperanza Middle School,St. Mary's,42,11/10/2021,15:00:00+00
Fifth District Elementary School,Baltimore,5,11/10/2021,15:00:00+00
Forest Ridge Elementary School,Howard,2,11/10/2021,15:00:00+00
Fort Hill High School,Allegany,44,11/10/2021,15:00:00+00
Friendship Valley Elementary School,Carroll,6,11/10/2021,15:00:00+00
Glade Elementary School,Frederick,2,11/10/2021,15:00:00+00
Glenelg High School,Howard,2,11/10/2021,15:00:00+00
Grace Academy,Washington,2,11/10/2021,15:00:00+00
Great Mills High School,St. Mary's,64,11/10/2021,15:00:00+00
Greenwood Elementary School,Somerset,19,11/10/2021,15:00:00+00
Harper's Choice Middle School,Howard,13,11/10/2021,15:00:00+00
Havre de Grace Elementary School,Harford,28,11/10/2021,15:00:00+00
Heather Hills Elementary School,Prince George's,3,11/10/2021,15:00:00+00
Hebron-Harman Elementary School,Anne Arundel,9,11/10/2021,15:00:00+00
Hereford Middle School,Baltimore,4,11/10/2021,15:00:00+00
Hickory Elementary School,Harford,13,11/10/2021,15:00:00+00
Holy Trinity Episcopal School,Prince George's,2,11/10/2021,15:00:00+00
Honeygo Elementary School,Baltimore,6,11/10/2021,15:00:00+00
J. Frank Dent Elementary School,Prince George's,2,11/10/2021,15:00:00+00
Jacksonville Elementary School,Baltimore,12,11/10/2021,15:00:00+00
Jacobsville Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
John Archer School,Harford,3,11/10/2021,15:00:00+00
Joppa View Elementary School,Baltimore,2,11/10/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,11/10/2021,15:00:00+00
Kennard Elementary School,Queen Anne's,10,11/10/2021,15:00:00+00
Kent Island High School,Queen Anne's,10,11/10/2021,15:00:00+00
Kingsville Elementary School,Baltimore,5,11/10/2021,15:00:00+00
Lamb of God,Baltimore,3,11/10/2021,15:00:00+00
Leonardtown High School,St. Mary's,81,11/10/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,57,11/10/2021,15:00:00+00
Lindale Middle School,Anne Arundel,7,11/10/2021,15:00:00+00
Magothy River Middle School,Anne Arundel,12,11/10/2021,15:00:00+00
Manchester Valley High School,Carroll,6,11/10/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,101,11/10/2021,15:00:00+00
McDonogh School,Baltimore,9,11/10/2021,15:00:00+00
Middleborough Elementary School,Baltimore,2,11/10/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,11/10/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,11/10/2021,15:00:00+00
Mount Aviat School,Cecil,2,11/10/2021,15:00:00+00
Mount Savage School,Allegany,6,11/10/2021,15:00:00+00
Mount View Middle School,Howard,10,11/10/2021,15:00:00+00
Mountain Ridge High School,Allegany,36,11/10/2021,15:00:00+00
Murray Hill Middle School,Howard,2,11/10/2021,15:00:00+00
North Dorchester Middle School,Dorchester,37,11/10/2021,15:00:00+00
North East Elementary School,Cecil,6,11/10/2021,15:00:00+00
North Harford Elementary School,Harford,5,11/10/2021,15:00:00+00
Northeast High School,Anne Arundel,33,11/10/2021,15:00:00+00
Northern Middle School,Washington,39,11/10/2021,15:00:00+00
Northwest Middle School,Carroll,38,11/10/2021,15:00:00+00
Ocean City Elementary School,Worcester,4,11/10/2021,15:00:00+00
Ohr Chadash Academy,Baltimore City,14,11/10/2021,15:00:00+00
Old Forge Elementary School,Washington,5,11/10/2021,15:00:00+00
Old Mill High School,Anne Arundel,3,11/10/2021,15:00:00+00
Orchard Groves Elementary School,Frederick,18,11/10/2021,15:00:00+00
Our Lady of Lourdes Catholic School,Montgomery,9,11/10/2021,15:00:00+00
Our Lady Star of the Sea School,Calvert,2,11/10/2021,15:00:00+00
Overlook Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Parkville Middle School,Baltimore,8,11/10/2021,15:00:00+00
Perry Hall Elementary School,Baltimore,17,11/10/2021,15:00:00+00
Perryville Middle School,Cecil,14,11/10/2021,15:00:00+00
Rising Sun Elementary School,Cecil,4,11/10/2021,15:00:00+00
Riverview Elementary School,Baltimore,2,11/10/2021,15:00:00+00
Roland Park Elementary/Middle School,Baltimore City,8,11/10/2021,15:00:00+00
Rolling Knolls Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Rosedale Baptist School Elementary School,Baltimore,3,11/10/2021,15:00:00+00
Running Brook Elementary School,Howard,4,11/10/2021,15:00:00+00
Saint Bernadette School,Montgomery,3,11/10/2021,15:00:00+00
Saint Elizabeth School,Baltimore City,3,11/10/2021,15:00:00+00
Salisbury Baptist Academy,Wicomico,11,11/10/2021,15:00:00+00
Sandymount Elementary School,Carroll,19,11/10/2021,15:00:00+00
Severn River Middle School,Anne Arundel,2,11/10/2021,15:00:00+00
Severna Park High School,Anne Arundel,5,11/10/2021,15:00:00+00
Shady Side Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Shiloh Middle School,Carroll,5,11/10/2021,15:00:00+00
Snow Hill Middle School,Worcester,28,11/10/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,11/10/2021,15:00:00+00
Southern High School,Anne Arundel,8,11/10/2021,15:00:00+00
Southern Middle School,Anne Arundel,25,11/10/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,58,11/10/2021,15:00:00+00
Springfield Middle School,Washington,3,11/10/2021,15:00:00+00
St. Bernadette School,Montgomery,5,11/10/2021,15:00:00+00
St. Francis de Sales Catholic School,Wicomico,2,11/10/2021,15:00:00+00
St. John the Evangelist School,Prince George's,3,11/10/2021,15:00:00+00
St. Mary's School,Prince George's,2,11/10/2021,15:00:00+00
St. Mary's School,Anne Arundel,5,11/10/2021,15:00:00+00
St. Michaels Elementary School,Talbot,2,11/10/2021,15:00:00+00
St. Paul's School,Baltimore,9,11/10/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,44,11/10/2021,15:00:00+00
Stephen Decatur High School,Worcester,7,11/10/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,15,11/10/2021,15:00:00+00
Stepping Stones Learning Academy,Wicomico,2,11/10/2021,15:00:00+00
Sugarloaf Elementary School,Frederick,6,11/10/2021,15:00:00+00
Summit Park Elementary,Baltimore,8,11/10/2021,15:00:00+00
The Foundation School,Prince George's,2,11/10/2021,15:00:00+00
Timonium Elementary School,Baltimore,9,11/10/2021,15:00:00+00
Urbana Middle School,Frederick,3,11/10/2021,15:00:00+00
Van Bokkelen Elementary School,Anne Arundel,2,11/10/2021,15:00:00+00
Washington High School,Somerset,25,11/10/2021,15:00:00+00
Washington Middle School,Allegany,5,11/10/2021,15:00:00+00
Watershed Public Charter School,Baltimore,6,11/10/2021,15:00:00+00
Western Heights Middle School,Washington,36,11/10/2021,15:00:00+00
Westmar Middle School,Allegany,2,11/10/2021,15:00:00+00
Westport Academy,Baltimore City,2,11/10/2021,15:00:00+00
White Oak School,Baltimore,3,11/10/2021,15:00:00+00
Williamsport High School,Washington,43,11/10/2021,15:00:00+00
Windy Hill Elementary School,Calvert,3,11/10/2021,15:00:00+00
Woodside Elementary,Anne Arundel,2,11/10/2021,15:00:00+00
Worcester Prepatory School,Worcester,2,11/10/2021,15:00:00+00
Worthington Elementary School,Howard,2,11/10/2021,15:00:00+00
Youth's Benefit Elementary School,Harford,2,11/10/2021,15:00:00+00
